Date,Open,High,Low,Close,Volume
2/21/2024 16:00:00,1.28,1.3,1.14,1.22,2656885
2/22/2024 16:00:00,1.24,1.25,1.12,1.16,893605
2/23/2024 16:00:00,1.14,1.3,1.08,1.3,1391745
2/26/2024 16:00:00,1.3,1.35,1.23,1.27,1530941
2/27/2024 16:00:00,1.28,1.33,1.2,1.23,854003
2/28/2024 16:00:00,1.26,1.39,1.2,1.36,1692599
2/29/2024 16:00:00,1.4,1.5,1.36,1.41,2325377
3/1/2024 16:00:00,1.4,1.47,1.31,1.38,1760714
3/4/2024 16:00:00,1.4,1.46,1.33,1.45,1066750
3/5/2024 16:00:00,1.41,1.48,1.37,1.45,1140148
3/6/2024 16:00:00,1.45,1.55,1.43,1.51,1421265
3/7/2024 16:00:00,1.51,1.6,1.39,1.39,1072542
3/8/2024 16:00:00,1.45,1.47,1.36,1.38,1074083
3/11/2024 16:00:00,1.35,1.41,1.32,1.34,4694106
3/12/2024 16:00:00,1.39,1.45,1.34,1.4,986426
3/13/2024 16:00:00,1.45,1.56,1.39,1.43,1426537
3/14/2024 16:00:00,1.45,1.48,1.38,1.4,720698
3/15/2024 16:00:00,1.42,1.5,1.42,1.46,1542836
3/18/2024 16:00:00,1.45,1.45,1.27,1.38,1581198
3/19/2024 16:00:00,1.34,1.44,1.34,1.39,1048496
3/20/2024 16:00:00,1.37,1.38,1.29,1.35,1276323
3/21/2024 16:00:00,1.34,1.37,1.32,1.32,797134
3/22/2024 16:00:00,1.35,1.4,1.31,1.35,1088758
3/25/2024 16:00:00,1.33,1.36,1.31,1.31,920485
3/26/2024 16:00:00,1.29,1.31,1.23,1.23,1604673
3/27/2024 16:00:00,1.23,1.23,1.11,1.17,2222249
3/28/2024 16:00:00,1.2,1.22,1.15,1.18,1068353
4/1/2024 16:00:00,1.18,1.28,1.11,1.27,1479724
4/2/2024 16:00:00,1.22,1.25,1.14,1.15,1248635
4/3/2024 16:00:00,1.15,1.15,1.08,1.11,2932720
4/4/2024 16:00:00,1.13,1.16,1.07,1.07,3480830
4/5/2024 16:00:00,1.1,1.12,1.03,1.03,1661116
4/8/2024 16:00:00,1.05,1.08,1,1.08,942641
4/9/2024 16:00:00,1.1,1.1,0.98,1,3137392
4/10/2024 16:00:00,0.99,1.02,0.96,1,741678
4/11/2024 16:00:00,0.99,1.01,0.95,0.97,1579711
4/12/2024 16:00:00,0.95,0.99,0.88,0.9,1377573
4/15/2024 16:00:00,0.9,0.9,0.83,0.86,915642
4/16/2024 16:00:00,0.83,0.87,0.81,0.82,771055
4/17/2024 16:00:00,0.83,0.86,0.8,0.82,936597
4/18/2024 16:00:00,0.82,0.86,0.79,0.81,768484
4/19/2024 16:00:00,0.8,0.85,0.77,0.78,668635
4/22/2024 16:00:00,0.8,0.83,0.72,0.74,1300670
4/23/2024 16:00:00,0.75,0.8,0.72,0.74,1208885
4/24/2024 16:00:00,0.75,0.78,0.68,0.71,798638
4/25/2024 16:00:00,0.69,0.69,0.63,0.67,2484614
4/26/2024 16:00:00,0.69,0.71,0.65,0.67,2084401
4/29/2024 16:00:00,0.66,0.73,0.66,0.7,1252793
4/30/2024 16:00:00,0.74,0.75,0.65,0.71,1114955
5/1/2024 16:00:00,0.71,0.75,0.69,0.71,1045807
5/2/2024 16:00:00,0.71,0.77,0.69,0.77,1152467
5/3/2024 16:00:00,0.79,0.8,0.69,0.74,4329555
5/6/2024 16:00:00,0.75,0.8,0.72,0.78,8510626
5/7/2024 16:00:00,0.78,0.78,0.72,0.73,2115496
